Unit,Phase,StartDate,EndDate,AssetDemand
A,H,1/1/18,4/14/18,9
A,H,4/15/18,6/13/18,10
A,H,6/14/18,11/22/18,12
A,H,11/23/18,1/26/19,10
A,H,1/27/19,5/31/20,7
A,H,6/1/20,7/8/20,8
A,H,7/9/20,10/3/20,9
A,H,10/4/20,1/12/21,10
A,H,1/13/21,10/23/21,12
A,H,10/24/21,1/11/22,10
A,H,1/12/22,4/10/23,7
A,H,4/11/23,5/10/23,8
A,H,5/11/23,8/14/23,9
A,H,8/15/23,10/19/23,10
A,H,10/20/23,7/8/24,12
A,H,7/9/24,11/7/24,10
A,H,11/8/24,11/16/25,7
A,H,11/17/25,12/12/25,8
A,H,12/13/25,3/6/26,9
A,H,3/7/26,8/21/26,10
A,H,8/22/26,5/12/27,12
A,H,5/13/27,10/15/27,10
A,H,10/16/27,1/23/29,7
A,H,1/24/29,2/17/29,8
B,H,1/1/18,5/9/18,10
B,H,5/10/18,1/17/19,12
B,H,1/18/19,6/16/19,10
B,H,6/17/19,7/16/20,7
B,H,7/17/20,8/12/20,8
B,H,8/13/20,11/2/20,9
B,H,11/3/20,2/25/21,10
B,H,2/26/21,12/15/21,12
B,H,12/16/21,4/12/22,10
B,H,4/13/22,8/29/23,7
B,H,8/30/23,10/3/23,8
B,H,10/4/23,12/24/23,9
B,H,12/25/23,3/25/24,10
B,H,3/26/24,9/25/24,12
B,H,9/26/24,1/10/25,10
B,H,1/11/25,1/22/26,7
B,H,1/23/26,2/20/26,8
B,H,2/21/26,5/19/26,9
B,H,5/20/26,8/10/26,10
B,H,8/11/26,6/7/27,12
B,H,6/8/27,10/24/27,10
B,H,10/25/27,4/29/29,7
B,H,4/30/29,6/6/29,8
B,H,6/7/29,9/15/29,9
C,H,1/1/18,9/3/18,12
C,H,9/4/18,3/4/19,10
C,H,3/5/19,2/10/20,7
C,H,2/11/20,3/7/20,8
C,H,3/8/20,6/6/20,9
C,H,6/7/20,10/27/20,10
C,H,10/28/20,6/20/21,12
C,H,6/21/21,8/14/21,10
C,H,8/15/21,2/28/23,7
C,H,3/1/23,3/30/23,8
C,H,3/31/23,7/7/23,9
C,H,7/8/23,11/17/23,10
C,H,11/18/23,7/26/24,12
C,H,7/27/24,11/14/24,10
C,H,11/15/24,11/2/25,7
C,H,11/3/25,11/28/25,8
C,H,11/29/25,3/8/26,9
C,H,3/9/26,6/26/26,10
C,H,6/27/26,1/3/27,12
C,H,1/4/27,5/26/27,10
C,H,5/27/27,11/24/28,7
C,H,11/25/28,12/21/28,8
C,H,12/22/28,3/21/29,9
C,H,3/22/29,10/6/29,10
D,H,1/1/18,7/10/18,10
D,H,7/11/18,7/21/19,7
D,H,7/22/19,8/25/19,8
D,H,8/26/19,12/2/19,9
D,H,12/3/19,6/8/20,10
D,H,6/9/20,3/13/21,12
D,H,3/14/21,5/27/21,10
D,H,5/28/21,6/11/22,7
D,H,6/12/22,7/6/22,8
D,H,7/7/22,10/2/22,9
D,H,10/3/22,3/15/23,10
D,H,3/16/23,10/10/23,12
D,H,10/11/23,1/19/24,10
D,H,1/20/24,2/22/25,7
D,H,2/23/25,3/24/25,8
D,H,3/25/25,6/30/25,9
D,H,7/1/25,8/14/25,10
D,H,8/15/25,5/29/26,12
D,H,5/30/26,7/16/26,10
D,H,7/17/26,12/21/27,7
D,H,12/22/27,1/15/28,8
D,H,1/16/28,4/13/28,9
D,H,4/14/28,9/28/28,10
