AssetID,AsOfDate,UtilType,InitialVal,UtilType,InitialVal
1,2018-01-01,Hours,2015,Cycles,2456
2,2018-01-01,Hours,4750,Cycles,3032
3,2018-01-01,Hours,5533,Cycles,1918
4,2018-01-01,Hours,3391,Cycles,1467
5,2018-01-01,Hours,1104,Cycles,1393
6,2018-01-01,Hours,3274,Cycles,1941
7,2018-01-01,Hours,5327,Cycles,2289
8,2018-01-01,Hours,3623,Cycles,3220
9,2018-01-01,Hours,1081,Cycles,2942
10,2018-01-01,Hours,3532,Cycles,2660
11,2018-01-01,Hours,4794,Cycles,840
12,2018-01-01,Hours,2195,Cycles,3394
13,2018-01-01,Hours,2809,Cycles,1410
14,2018-01-01,Hours,4435,Cycles,3048
15,2018-01-01,Hours,3114,Cycles,2172
16,2018-01-01,Hours,1186,Cycles,3480
17,2018-01-01,Hours,1785,Cycles,1918
18,2018-01-01,Hours,4602,Cycles,3475
19,2018-01-01,Hours,5943,Cycles,1187
20,2018-01-01,Hours,1064,Cycles,843
21,2018-01-01,Hours,521,Cycles,2636
22,2018-01-01,Hours,5969,Cycles,1518
23,2018-01-01,Hours,4385,Cycles,2412
24,2018-01-01,Hours,2953,Cycles,1828
25,2018-01-01,Hours,735,Cycles,1013
26,2018-01-01,Hours,2485,Cycles,2558
27,2018-01-01,Hours,3426,Cycles,1502
28,2018-01-01,Hours,1987,Cycles,2557
29,2018-01-01,Hours,4688,Cycles,2782
30,2018-01-01,Hours,4955,Cycles,2095
31,2018-01-01,Hours,3196,Cycles,801
32,2018-01-01,Hours,3424,Cycles,2368
33,2018-01-01,Hours,2863,Cycles,2787
34,2018-01-01,Hours,3689,Cycles,1919
35,2018-01-01,Hours,2157,Cycles,3299
36,2018-01-01,Hours,3018,Cycles,1887
37,2018-01-01,Hours,4005,Cycles,1121
38,2018-01-01,Hours,1780,Cycles,3176
39,2018-01-01,Hours,4497,Cycles,3234
40,2018-01-01,Hours,3723,Cycles,1325
41,2018-01-01,Hours,4538,Cycles,981
42,2018-01-01,Hours,2708,Cycles,3343
43,2018-01-01,Hours,2042,Cycles,2094
44,2018-01-01,Hours,4365,Cycles,2277
45,2018-01-01,Hours,936,Cycles,672
46,2018-01-01,Hours,1625,Cycles,3432
47,2018-01-01,Hours,3250,Cycles,2135
48,2018-01-01,Hours,3017,Cycles,3329
49,2018-01-01,Hours,3770,Cycles,683
50,2018-01-01,Hours,1330,Cycles,2085
51,2018-01-01,Hours,1639,Cycles,1956
52,2018-01-01,Hours,4496,Cycles,2679
53,2018-01-01,Hours,3785,Cycles,2047
54,2018-01-01,Hours,2460,Cycles,3355
55,2018-01-01,Hours,857,Cycles,629
56,2018-01-01,Hours,5705,Cycles,3259
57,2018-01-01,Hours,5357,Cycles,2969
58,2018-01-01,Hours,515,Cycles,880
59,2018-01-01,Hours,1172,Cycles,1604
60,2018-01-01,Hours,5351,Cycles,697
61,2018-01-01,Hours,3722,Cycles,1367
62,2018-01-01,Hours,1692,Cycles,510
63,2018-01-01,Hours,3493,Cycles,671
64,2018-01-01,Hours,5810,Cycles,2736
65,2018-01-01,Hours,747,Cycles,1096
66,2018-01-01,Hours,3997,Cycles,3461
67,2018-01-01,Hours,1704,Cycles,3197
68,2018-01-01,Hours,4206,Cycles,2945
69,2018-01-01,Hours,695,Cycles,2147
70,2018-01-01,Hours,4045,Cycles,2205
71,2018-01-01,Hours,816,Cycles,1368
72,2018-01-01,Hours,1120,Cycles,509
73,2018-01-01,Hours,3338,Cycles,3217
74,2018-01-01,Hours,5631,Cycles,1676
75,2018-01-01,Hours,2013,Cycles,2804
76,2018-01-01,Hours,5320,Cycles,1594
77,2018-01-01,Hours,1501,Cycles,917
78,2018-01-01,Hours,2609,Cycles,2712
79,2018-01-01,Hours,2762,Cycles,2371
80,2018-01-01,Hours,3182,Cycles,1102
81,2018-01-01,Hours,4136,Cycles,1294
82,2018-01-01,Hours,4379,Cycles,1967
83,2018-01-01,Hours,2994,Cycles,1885
84,2018-01-01,Hours,2362,Cycles,1595
85,2018-01-01,Hours,5661,Cycles,1916
86,2018-01-01,Hours,2135,Cycles,2690
87,2018-01-01,Hours,1535,Cycles,663
88,2018-01-01,Hours,2835,Cycles,2307
89,2018-01-01,Hours,5861,Cycles,2844
90,2018-01-01,Hours,4548,Cycles,3039
91,2018-01-01,Hours,4737,Cycles,2243
92,2018-01-01,Hours,5416,Cycles,2823
93,2018-01-01,Hours,1578,Cycles,1339
94,2018-01-01,Hours,4406,Cycles,1704
95,2018-01-01,Hours,3955,Cycles,692
96,2018-01-01,Hours,1533,Cycles,2068
97,2018-01-01,Hours,4929,Cycles,680
98,2018-01-01,Hours,1582,Cycles,1567
99,2018-01-01,Hours,4278,Cycles,1383
100,2018-01-01,Hours,5825,Cycles,1523
